0.123811	0.3783239	0.2864078	0.5552915	0	0.05543186	0	0	
0.08323601	0.03557381	0.01746246	0.01746246	0.172515	0.09237736	0	0	
0.04298055	0.07283608	0.1467164	0.2089306	0	0	0.007768113	0.0699823	
0.4872298	0.317853	0.3202016	0.07801152	0.06979938	0.06979938	0.03323342	0.03323342	
0.5522374	0.2681572	0.2288775	0.03980333	0.3683252	0.08424504	1.74963e-05	0	
0.1299038	0.09097477	0	0	0.05853862	0.05853862	0.01376629	0.01376629	
0.1260984	0.0458312	0.3218292	0.05059427	0.005076948	0	0.1991636	0.005339448	
0.04804466	0.04804466	0.059701	0.059701	0.02529335	0.02529335	0.2043519	0.2043519	
0.01962386	0.01962386	0.007757241	0.007757241	0.7149941	0.6550808	0.556609	0.4966957	
0.03658107	0.03658107	0.07427035	0.07427035	0.8045902	0.7760055	0.8909754	0.6073036	
0.07462653	0.07462653	0.03835055	0.03835055	0.6667665	0.7774208	0.3273052	0.7937901	
0.1420677	0.1420677	0.01472638	0.01472638	0.1476323	0.04198693	0	0	
0	0	0	0	1.005859	0.9257808	1.068942	1.027421	
0	0	0.06295889	0.02981264	0.05764154	0.05764154	0.4154115	0.1505269	
0.05098972	0.09386226	0.03476836	0.08213025	0	0.03827032	0	0.007094781	
0.07877661	0.04384785	0.07877661	0.04384785	0.1493319	0.0769712	0	0	
0.5602777	0.3785517	0.2954803	0.1466105	0.101708	0.01310306	0	0	
0.03838292	0.03838292	0.2093352	0.1674449	0	0	0.04402129	0.03404403	
0.1746611	0.03066849	0.07556691	0.009672431	0.1605843	0	0.06113722	0	
0.01922426	0.01922426	0.009885518	0.009885518	0.102166	0.102166	0.1713608	0.3105986	
0	0	0	0	0.4572211	0.4296046	0.5547557	0.5271392	
0.4240896	0.2898923	0.07468331	0	0.2297034	0.08995932	0	0	
0.1007452	0.1329323	0	0	0.1462863	0.1462863	0.07080777	0.07080777	
0.1031367	0.06818275	0.09078578	0.03792585	0.006617278	0	0.1278806	0.05165045	
0.5846387	0.6010939	0.4970386	0.5134938	0.005644947	0.06086904	0.005644947	0.03901416	
0.2604195	0.1343102	0.1272276	0.04814204	0	0	0	0	
0.290506	0.101632	0.1440918	0.005507027	0.07908579	0.0165461	0	0	
0.3055395	0.4887887	0.05902416	0.2436713	0.0298913	0.2383953	0.001038887	0.001038887	
0.2999554	0.363081	0.4008117	0.4639373	0.008989287	0.008989287	0	0	
0.2332923	0.3557755	0.03225466	0.1550725	0	0.03566959	0	0.03566959	
0.2391026	0.05183319	0.3362913	0.03229121	0.02085597	0.02223716	0.07754327	0.02223716	
0	0	0	0.09046521	0.1721874	0.3821908	0.324176	0.5941176	
0.4515173	0.5047702	0.2285744	0.2975917	0	0	0	0	
0	0	0	0	0.2593627	0.1299582	0.3446137	0.2219274	
0.1401227	0	0.1753956	0	0.06670625	0.01121189	0.06670625	0.01121189	
0	0	0	0	0.1048665	0.1048665	0.209989	0.209989	
0.0660703	0.0294064	0	0	0.2809453	0.1942901	0.1914423	0.1433875	
0.1261369	0.1659449	0.1261369	0.1659449	0	0	0	0	
0.2646021	0.2304368	0.2825062	0.2613761	0	0	0	0	
0.184423	0.1267012	0.1400142	0.04383747	0.2467609	0.1951819	0.01834817	0	
0.1579729	0.1579729	0.03993543	0.03993543	0.718607	0.6293672	0.2643742	0.1620411	
